Reference,Qty,Value,In-Stock,Ordered,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,DEVICENAME,PURCHASE-URL,Description
"BATT+1,BATT-1",2,PINHD-1X1,TRUE,FALSE,,,,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,,,https://www.amazon.com/dp/B0817JG3XN?ref=ppx_yo2ov_dt_b_fed_asin_title,"Pin header 1x1 for 0.1"" spacing   With round pins"
C1,1,.1uF,TRUE,FALSE,,,,Capacitor_SMD:C_1206_3216Metric,,C1206,https://www.digikey.com/en/products/detail/kemet/C1206C104K5RACTU/411248,Unpolarized capacitor
"C5,C6,C7,C8",4,1uF,FALSE,TRUE,,,,Capacitor_SMD:C_2220_5750Metric,,C2220K,https://www.digikey.com/en/products/detail/yageo/CC2220KKX7R9BB105/5195475,Unpolarized capacitor
"C9,C10,C11,C13",4,10uF,FALSE,TRUE,,,,Capacitor_SMD:C_2220_5750Metric,,C2220K,https://www.digikey.com/en/products/detail/tdk/C5750X7R1H106K230KB/1834528,Unpolarized capacitor
C12,1,4.7nF,FALSE,TRUE,,,,Capacitor_SMD:C_2220_5750Metric,,C2220K,https://www.digikey.com/en/products/detail/murata-electronics/GA355DR7GF472KW01L/789281,Unpolarized capacitor
"D1,D2,D3,D4",4,1N5403,FALSE,TRUE,,,,Diode_THT:D_DO-201_P15.24mm_Horizontal,,,https://www.digikey.com/en/products/detail/diotec-semiconductor/1N5400/22192455,"DIODE   standard rectifier, 3 A, 50 V (Motorola)"
"JP2,JP14",2,PINHD-1X3-STACK,FALSE,TRUE,,,,Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical,,CB,https://www.amazon.com/dp/B0756KRCFX?ref=ppx_yo2ov_dt_b_fed_asin_title,STACKING SOCKET HEADER
JP3,1,PINHD-1X6-STACK,FALSE,TRUE,,,,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical,,CB,https://www.amazon.com/dp/B0756KRCFX?ref=ppx_yo2ov_dt_b_fed_asin_title,STACKING SOCKET HEADER
"JP5,JP6",2,PINHD-1X8-STACK,FALSE,TRUE,,,,Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,,CLEANBIG,https://www.amazon.com/dp/B0756KRCFX?ref=ppx_yo2ov_dt_b_fed_asin_title,STACKING PIN HEADER
"JP4,JP7",2,PINHD-1X6,TRUE,FALSE,,,,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,,CB,https://www.amazon.com/dp/B0817JG3XN?ref=ppx_yo2ov_dt_b_fed_asin_title,PIN HEADER
